Date,Price
2023-04-01,[350.8702618110164]
2023-04-02,[350.8702618110164]
2023-04-03,[350.8702618110164]
2023-04-04,[350.8702618110164]
2023-04-05,[350.8702618110164]
2023-04-06,[350.8702618110164]
2023-04-07,[350.8702618110164]
2023-04-08,[350.8702618110164]
2023-04-09,[350.8702618110164]
2023-04-10,[350.8702618110164]
2023-04-11,[350.8702618110164]
2023-04-12,[350.8702618110164]
2023-04-13,[350.8702618110164]
2023-04-14,[350.8702618110164]
2023-04-15,[350.8702618110164]
2023-04-16,[350.8702618110164]
2023-04-17,[350.8702618110164]
2023-04-18,[350.8702618110164]
2023-04-19,[350.8702618110164]
2023-04-20,[350.8702618110164]
2023-04-21,[350.8702618110164]
2023-04-22,[350.8702618110164]
2023-04-23,[350.8702618110164]
2023-04-24,[350.8702618110164]
2023-04-25,[350.8702618110164]
2023-04-26,[350.8702618110164]
2023-04-27,[350.8702618110164]
2023-04-28,[350.8702618110164]
2023-04-29,[350.8702618110164]
2023-04-30,[350.8702618110164]
2023-05-01,[350.8702618110164]
